N,Triton,Torch
1024.000000,446.836360,384.000001
1536.000000,435.615969,383.999986
2048.000000,534.260858,374.313196
2560.000000,706.206894,374.634152
3072.000000,708.923085,356.173905
3584.000000,693.677429,371.961081
4096.000000,669.731298,375.228488
4608.000000,607.648340,373.621605
5120.000000,639.999977,368.024709
5632.000000,649.846161,363.187043
6144.000000,667.221735,368.036189
6656.000000,628.913353,374.985904
7168.000000,581.189164,374.797384
7680.000000,542.117649,368.639982
8192.000000,496.484863,361.411758
8704.000000,401.723076,369.074203
9216.000000,394.971418,367.415291
9728.000000,391.075373,365.370906
10240.000000,388.246452,353.611513
10752.000000,380.601780,359.429611
11264.000000,376.037900,350.630354
11776.000000,373.254965,355.055273
12288.000000,364.088890,354.036015
12800.000000,367.464106,351.890030
13312.000000,365.129132,347.269558
13824.000000,363.789467,349.237889
14336.000000,362.936709,350.125563
14848.000000,360.680178,352.823760
15360.000000,361.411776,348.430994
15872.000000,358.351853,346.928968
