M,N,K,cuBLAS,Triton
256.000000,256.000000,256.000000,5.461333,3.246365
384.000000,384.000000,384.000000,13.824000,7.970595
512.000000,512.000000,512.000000,29.127110,15.679641
640.000000,640.000000,640.000000,25.600001,22.230664
768.000000,768.000000,768.000000,49.151998,30.508137
896.000000,896.000000,896.000000,42.573575,32.672744
1024.000000,1024.000000,1024.000000,56.679781,38.836148
1152.000000,1152.000000,1152.000000,71.094858,48.950558
1280.000000,1280.000000,1280.000000,74.472727,45.511110
1408.000000,1408.000000,1408.000000,73.672645,55.068446
1536.000000,1536.000000,1536.000000,70.078101,49.625860
1664.000000,1664.000000,1664.000000,55.548841,47.114723
1792.000000,1792.000000,1792.000000,77.513270,55.563349
1920.000000,1920.000000,1920.000000,72.448085,53.374519
2048.000000,2048.000000,2048.000000,72.005219,51.463851
2176.000000,2176.000000,2176.000000,71.870170,54.052692
2304.000000,2304.000000,2304.000000,80.702267,59.055309
2432.000000,2432.000000,2432.000000,80.041209,57.570624
2560.000000,2560.000000,2560.000000,80.908642,57.387042
2688.000000,2688.000000,2688.000000,73.943578,58.001617
2816.000000,2816.000000,2816.000000,80.767055,59.258433
2944.000000,2944.000000,2944.000000,81.832567,59.117475
3072.000000,3072.000000,3072.000000,81.884460,60.494768
3200.000000,3200.000000,3200.000000,82.580643,60.150379
3328.000000,3328.000000,3328.000000,68.759591,58.943582
3456.000000,3456.000000,3456.000000,74.788100,59.541881
3584.000000,3584.000000,3584.000000,79.290468,60.427009
3712.000000,3712.000000,3712.000000,71.304316,58.936487
3840.000000,3840.000000,3840.000000,76.209576,60.235294
3968.000000,3968.000000,3968.000000,81.393376,61.256995
4096.000000,4096.000000,4096.000000,74.773106,60.295477
